pregunta,a,b,c,d,correcta,materia,tema
"¿Cuál de los siguientes postulados NO forma parte de la Teoría Celular?","A) Todas las células provienen de células preexistentes.","B) La célula es la unidad morfológica y funcional de los seres vivos.","C) Todas las células poseen un núcleo delimitado por una membrana.","D) Todos los seres vivos están compuestos por una o más células.",C,Biología,Célula
"¿Qué organelo celular es responsable principal de la síntesis de proteínas?","A) Núcleo","B) Retículo endoplásmico rugoso","C) Aparato de Golgi","D) Mitocondria",B,Biología,Célula
"¿En qué fase del ciclo celular se duplica el material genético (ADN)?","A) G1","B) S","C) G2","D) Mitosis",B,Biología,Reproducción
"¿Cuál de los siguientes procesos es un ejemplo de anabolismo?","A) Glucólisis","B) Síntesis de un polipéptido a partir de aminoácidos","C) Ciclo de Krebs","D) Fermentación láctica",B,Biología,Metabolismo celular
"¿Qué gas es liberado como producto de desecho durante la fase luminosa de la fotosíntesis?","A) Dióxido de carbono","B) Nitrógeno","C) Oxígeno","D) Hidrógeno",C,Biología,Metabolismo celular
"¿Qué molécula es la principal fuente de energía inmediata para la mayoría de las actividades celulares?","A) ADN","B) Glucosa","C) ATP","D) NADH",C,Biología,Metabolismo celular
"¿Cuál de las siguientes estructuras está presente en una célula vegetal pero ausente en una animal?","A) Mitocondria","B) Ribosoma","C) Pared celular","D) Membrana plasmática",C,Biología,Célula
"¿En qué organelo tiene lugar el proceso de la respiración celular aerobia?","A) Cloroplasto","B) Núcleo","C) Mitocondria","D) Lisosoma",C,Biología,Metabolismo celular
"La primera ley de Mendel, o principio de la segregación, establece que:","A) Los alelos para diferentes caracteres se distribuyen de forma independiente.","B) Los alelos de un mismo gen se separan durante la formación de los gametos.","C) Los caracteres adquiridos durante la vida se heredan.","D) En una cruza dihíbrida, las proporciones fenotípicas son 9:3:3:1.",B,Biología,Mecanismos de la herencia
"¿Qué tipo de evidencia evolutiva se basa en el estudio de las estructuras con un origen embriológico similar, pero funciones diferentes?","A) Evidencia paleontológica","B) Evidencia anatómica (estructuras homólogas)","C) Evidencia embriológica","D) Evidencia biogeográfica",B,Biología,Evolución
"¿Cuál es el producto final de la glicólisis, primera etapa de la respiración celular?","A) Ácido pirúvico","B) Acetil CoA","C) Glucosa","D) Ácido láctico",A,Biología,Metabolismo celular
"La mitosis resulta en:","A) Cuatro células hijas haploides","B) Dos células hijas genéticamente idénticas a la madre","C) Dos células hijas con la mitad del ADN de la madre","D) Cuatro células hijas genéticamente diferentes",B,Biología,Reproducción
"¿Qué científico propuso la teoría de la generación espontánea, refutada posteriormente por experimentos como los de Pasteur?","A) Charles Darwin","B) Francesco Redi","C) Louis Pasteur","D) Aristóteles",D,Biología,Evolución
"¿Qué componente del ecosistema incluye a todos los factores físicos y químicos del ambiente?","A) Biocenosis","B) Biotopo","C) Población","D) Comunidad",B,Biología,Los seres vivos y su ambiente
"¿Cuál de los siguientes NO es un producto de la fermentación alcohólica realizada por las levaduras?","A) Etanol","B) Dióxido de carbono","C) ATP","D) Ácido láctico",D,Biología,Metabolismo celular
"¿Qué proceso de división celular permite la variabilidad genética a través del entrecruzamiento (crossing-over)?","A) Mitosis","B) Meiosis","C) Gemación","D) Fisión binaria",B,Biología,Reproducción
