pregunta,a,b,c,d,correcta,materia,tema
"¿Cuál es la principal utilidad de la Historia como disciplina científica?","A) Memorizar fechas y nombres de personajes","B) Proporcionar herramientas para comprender el presente a través del estudio crítico del pasado","C) Justificar las acciones de los gobernantes actuales","D) Recopilar anécdotas curiosas para entretener",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"La división tradicional de la Historia en Edad Antigua, Media, Moderna y Contemporánea es un ejemplo de:","A) Cronología","B) Temporalidad","C) Periodización","D) Historiografía",C,Historia Universal,"La Historia, Periodización de la Historia"
"¿Qué corriente del siglo XVIII sentó las bases ideológicas de las revoluciones burguesas?","A) Romanticismo","B) Ilustración","C) Socialismo Utópico","D) Mercantilismo",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"El principio de separación de poderes del Estado fue propuesto por:","A) Rousseau","B) Montesquieu","C) Voltaire","D) Locke",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"El ensayo político ""El contrato social"" fue escrito por:","A) John Locke","B) Thomas Hobbes","C) Jean-Jacques Rousseau","D) Denis Diderot",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"La obra ""Enciclopedia"" dirigida por Diderot y D'Alembert buscaba:","A) Recopilar solo conocimientos teológicos","B) Difundir el pensamiento racional y crítico","C) Defender el derecho divino de los reyes","D) Promover el regreso a la Edad Media",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"El fortalecimiento de la burguesía se debió principalmente a:","A) Su alianza con la nobleza feudal","B) La acumulación de capital por el comercio y la industria","C) La concesión de títulos nobiliarios","D) El control de la producción agrícola",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"Antes de las revoluciones, el poder en el Antiguo Régimen lo detentaban:","A) La burguesía y el proletariado","B) La nobleza y el clero","C) Los campesinos y artesanos","D) Los comerciantes y banqueros",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"La frase ""Laissez faire, laissez passer"" está asociada al:","A) Socialismo","B) Liberalismo económico","C) Mercantilismo","D) Feudalismo",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"La obra ""La riqueza de las naciones"" es fundamental para el:","A) Socialismo científico","B) Liberalismo económico","C) Anarquismo","D) Conservadurismo",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"El liberalismo político defendía conceptos como:","A) Monarquía absoluta","B) Soberanía nacional y derechos individuales","C) Dictadura del proletariado","D) Supremacía eclesiástica",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
