pregunta,a,b,c,d,correcta,materia,tema
"¿Cuál de los siguientes es un ejemplo de sustancia química pura?","A) Aire","B) Agua de mar","C) Agua destilada","D) Granito",C,Química,Sustancias químicas
"La parte del átomo con carga positiva y que concentra la mayor parte de la masa es:","A) La nube electrónica","B) El protón","C) El neutrón","D) El núcleo",D,Química,Estructura atómica
"¿Cuál es la partícula subatómica de carga negativa?","A) Protón","B) Neutrón","C) Electrón","D) Positrón",C,Química,Estructura atómica
"En la tabla periódica, los elementos se ordenan principalmente según:","A) Su masa atómica creciente","B) Su número atómico creciente","C) Su radio atómico decreciente","D) Su electronegatividad creciente",B,Química,Tabla periódica
"Los elementos del grupo 18 (VIII A) de la tabla periódica se caracterizan por:","A) Ser metales muy reactivos","B) Ser gases nobles y poco reactivos","C) Ser no metales formadores de ácidos","D) Ser metales de transición",B,Química,Tabla periódica
"Un óxido básico se forma por la combinación de:","A) Un no metal con oxígeno","B) Un metal con oxígeno","C) Un metal con agua","D) Un no metal con agua",B,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"El dióxido de carbono (CO2) es un ejemplo de:","A) Óxido básico","B) Base","C) Óxido ácido","D) Sal",C,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"¿Cuál de las siguientes es una base (hidróxido)?","A) HCl","B) H2SO4","C) NaOH","D) NaCl",C,Química,Clasificación de los compuestos en óxidos básicos óxidos ácidos| ácidos| bases y sales
"La sal común (cloruro de sodio) tiene la fórmula:","A) NaO","B) NaCl","C) Na2Cl","D) ClNa",B,Química,Clasificación de los compuestos en óxidos básicos| óxidos ácidos| ácidos| bases y sales
"El concepto de mol se refiere a:","A) Una unidad de masa","B) La cantidad de sustancia que contiene 6.022 x 10^23 entidades elementales","C) El volumen ocupado por un gas en condiciones normales","D) Una medida de concentración",B,Química,Mol
"¿Cuántos átomos hay aproximadamente en un mol de átomos de carbono?","A) 6.022 x 10^23","B) 12","C) 6.022 x 10^12","D) 1 x 10^10",A,Química,Mol
"La masa molar del agua (H2O) es aproximadamente:","A) 18 g/mol","B) 16 g/mol","C) 2 g/mol","D) 20 g/mol",A,Química,Mol
"La molécula de agua está formada por:","A) Un átomo de oxígeno y dos de hidrógeno","B) Dos átomos de oxígeno y uno de hidrógeno","C) Un átomo de hidrógeno y uno de oxígeno","D) Dos átomos de hidrógeno y dos de oxígeno",A,Química,Composición del agua y estructura molecular
"El enlace que mantiene unidos a los átomos en una molécula de agua es:","A) Enlace iónico","B) Enlace metálico","C) Enlace covalente polar","D) Enlace de hidrógeno",C,Química,Composición del agua y estructura molecular
"¿A qué temperatura (a nivel del mar) el agua pura hierve (punto de ebullición)?","A) 0°C","B) 50°C","C) 100°C","D) 120°C",C,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"El punto de fusión del agua pura a 1 atm de presión es:","A) 100°C","B) 0°C","C) -10°C","D) 4°C",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"La capacidad calorífica específica del agua es relativamente alta. Esto significa que:","A) El agua se calienta y enfría con mucha facilidad","B) El agua requiere mucho calor para cambiar su temperatura","C) El agua tiene un punto de ebullición bajo","D) El agua conduce el calor muy eficientemente",B,Química,Propiedades físicas: puntos de ebullición y de fusión| capacidad calorífica específica
"La propiedad del agua que le permite actuar como un excelente disolvente para muchas sustancias se debe principalmente a:","A) Su baja densidad en estado sólido","B) Su polaridad molecular","C) Su alto punto de ebullición","D) Su capacidad para formar puentes de hidrógeno con solutos no polares",B,Química,Propiedades químicas: tipo de enlace| capacidad (poder) disolvente del agua
"Según la teoría de Arrhenius, un ácido es una sustancia que en solución acuosa:","A) Produce iones hidróxido (OH-)","B) Produce iones hidronio (H3O+) o protones (H+)","C) Acepta pares de electrones","D) Dona pares de electrones",B,Química,Ácidos y bases
"Según la teoría de Arrhenius, una base es una sustancia que en solución acuosa:","A) Produce iones hidronio (H3O+)","B) Produce iones hidróxido (OH-)","C) Acepta protones","D) Dona protones",B,Química,Ácidos y bases
"En la escala de pH, un valor de 7 indica:","A) Una solución ácida","B) Una solución básica","C) Una solución neutra","D) Una solución alcalina",C,Química,Ácidos y bases
"Una solución con un pH de 2 es:","A) Muy básica","B) Neutra","C) Ligeramente ácida","D) Muy ácida",D,Química,Ácidos y bases
